source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,9,26900,"Indianapolis-Carmel-Greenwood, IN",4,4.671043463342917,14292.0,95.696,88.917,79852.0,83443.40411302458,67102.48315808205,52167.689645291546,0.26071779381385785,0.23014586709886548
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,10,28940,"Knoxville, TN",4,4.761622526155418,13740.0,92.569,82.783,72422.0,78235.69445494712,64160.4664692093,49317.48447739778,0.27624760022122646,0.29259259259259257
11020,"Altoona, PA",2,1,48700,"Williamsport, PA",2,2.9720484858608107,10956.0,92.35,64.392,63917.0,69211.69463995668,61918.573443537956,50055.0109096993,0.22641284961979163,0.358974358974359
11020,"Altoona, PA",2,2,36980,"Owensboro, KY",2,3.485614317214441,10884.0,88.61,55.698,68002.0,76743.03126058007,61968.56622802557,49685.52819620073,0.23782500534711193,0.36633663366336633
11020,"Altoona, PA",2,3,27780,"Johnstown, PA",2,3.566469599473978,8868.0,85.929,42.333,58418.0,67984.03332984207,62586.554015524445,52266.40598633756,0.1936110100727031,0.38565022421524664
11020,"Altoona, PA",2,4,22500,"Florence, SC",2,3.572188333728346,11208.0,86.774,52.425,54443.0,62741.14366054348,62566.05390515404,49649.74256765663,0.24883360441537591,0.35125448028673834
11020,"Altoona, PA",2,5,40580,"Rocky Mount, NC",2,3.7207085728463714,11040.0,88.012,56.103,59636.0,67758.94196245966,63586.16470998596,51042.42067508163,0.23718808245067868,0.37398373983739835
11020,"Altoona, PA",2,6,21500,"Erie, PA",4,3.758607477379945,10848.0,90.95,56.83,63354.0,69658.0538757559,63101.11761660605,51173.68496130094,0.22484026575282168,0.2936046511627907
11020,"Altoona, PA",2,7,48260,"Weirton-Steubenville, WV-OH",2,3.8640291267549243,9420.0,89.024,52.383,58784.0,66031.63191948239,61784.71012197054,51203.293874666444,0.20762400003583392,0.40782122905027934
11020,"Altoona, PA",2,8,30620,"Lima, OH",2,4.055406712985763,11064.0,89.669,57.275,64038.0,71415.9854576275,64678.78328276013,52340.07090724574,0.22672824193499586,0.34545454545454546
